filing_yr,serv_count,cert_count,trade_count
1899,1,0,46
1911,1,0,261
1915,1,0,278
1931,3,0,1023
1932,3,0,856
1933,1,0,975
1934,1,0,1141
1935,1,0,1034
1937,1,0,922
1938,2,0,928
1939,3,1,879
1944,1,0,1687
1946,4,3,2594
1947,170,6,6915
1948,142,5,5301
1949,87,5,3731
1950,86,3,3542
1951,82,0,3088
1952,115,6,3474
1953,140,14,3859
1954,136,7,4551
1955,145,7,4757
1956,142,5,4865
1957,143,5,4727
1958,160,6,4822
1959,221,10,5272
1960,311,9,6303
1961,582,12,11004
1962,639,27,12545
1963,550,20,12017
1964,719,25,12340
1965,864,24,12427
1966,1025,20,12013
1967,1146,12,11654
1968,1444,20,11874
1969,1916,19,12265
1970,1875,20,12004
1971,1754,8,11475
1972,2048,21,12002
1973,2131,18,11589
1974,2278,15,11603
1975,3329,41,15243
1976,4970,38,22785
1977,5882,25,25892
1978,6575,38,25634
1979,6965,39,25041
1980,8125,35,27578
1981,11402,64,36105
1982,15122,73,46832
1983,12519,45,39406
1984,14012,65,43281
1985,15439,57,45126
1986,15793,79,46956
1987,17460,57,49154
1988,18293,83,51383
1989,22557,76,61599
1990,28798,124,84416
1991,28360,184,80686
1992,29175,127,83433
1993,35953,200,97365
1994,40625,185,101196
1995,49132,182,112454
1996,62051,243,123518
1997,67096,238,131831
1998,73525,246,134854
1999,119649,338,159170
2000,143179,289,163716
2001,88601,270,143881
2002,81917,380,143899
2003,84362,470,152114
2004,96163,483,168715
2005,106970,446,175436
2006,119890,623,178876
2007,135395,690,191354
2008,129693,745,183372
2009,116888,685,168994
2010,123036,526,180170
2011,137637,552,192058
2012,141078,561,199255
2013,143874,475,209645
2014,153292,446,221682
2015,167068,453,244961
2016,165878,381,258692
2017,17895,37,28693
