event_year,opd_count,opi_count,ops_count,opt_count,pubo_count,rpr_count,percent_opi,percent_ops,percent_opt,percent_opd
1901,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1903,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1904,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1905,0,0,0,0,0,3,0.0,0.0,0.0,0.0
1906,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1908,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1911,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1914,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1916,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1917,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1919,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1920,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1921,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1922,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1923,0,1,0,0,0,1,0.0,0.0,0.0,0.0
1924,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1925,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1927,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1930,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1931,0,0,0,0,0,5,0.0,0.0,0.0,0.0
1933,0,0,0,0,0,6,0.0,0.0,0.0,0.0
1934,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1935,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1936,0,0,0,0,0,5,0.0,0.0,0.0,0.0
1937,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1938,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1940,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1942,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1949,0,0,0,0,0,3,0.0,0.0,0.0,0.0
1950,0,0,0,0,0,3,0.0,0.0,0.0,0.0
1951,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1952,0,0,0,0,0,3,0.0,0.0,0.0,0.0
1956,0,0,0,0,1,3,0.0,0.0,0.0,0.0
1959,0,0,0,0,0,2,0.0,0.0,0.0,0.0
1960,0,0,0,0,2,3,0.0,0.0,0.0,0.0
1961,1,0,0,0,0,0,0.0,0.0,0.0,0.0
1963,1,0,0,0,0,3,0.0,0.0,0.0,0.0
1964,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1965,0,1,0,0,0,0,0.0,0.0,0.0,0.0
1966,0,0,1,0,0,1,0.0,0.0,0.0,0.0
1967,1,0,1,0,0,1,0.0,0.0,0.0,0.0
1968,0,0,0,0,0,4,0.0,0.0,0.0,0.0
1969,0,0,0,0,0,7,0.0,0.0,0.0,0.0
1970,0,0,0,0,0,5,0.0,0.0,0.0,0.0
1971,0,0,0,0,0,9,0.0,0.0,0.0,0.0
1972,1,0,0,1,0,0,0.0,0.0,0.0,0.0
1973,0,0,0,0,0,6,0.0,0.0,0.0,0.0
1974,0,0,0,0,0,4,0.0,0.0,0.0,0.0
1975,3,0,0,0,3,25,0.0,0.0,0.0,100.0
1976,17,6,3,0,7,23,85.71429,42.857143,0.0,242.85715
1977,327,91,16,0,0,2,0.0,0.0,0.0,0.0
1978,187,56,12,0,12,6,466.66666,100.0,0.0,1558.3333
1979,73,91,1,0,4,3,2275.0,25.0,0.0,1825.0
1980,31,93,1,0,2690,4864,3.457249,0.03717472,0.0,1.1524163
1981,20,179,77,3,36297,28694,0.4931537,0.21213876,0.008265146,0.055100974
1982,19,336,35,23,28591,27597,1.175195,0.122416146,0.080444895,0.066454485
1983,292,827,158,245,51630,51220,1.6017818,0.30602363,0.4745303,0.56556267
1984,721,1293,424,1057,41833,36874,3.0908613,1.0135539,2.5267134,1.7235197
1985,705,2244,561,1374,48404,47021,4.63598,1.158995,2.8386085,1.4564912
1986,980,1821,502,1960,37709,35496,4.829086,1.3312472,5.197698,2.598849
1987,1070,1650,453,1362,36520,33919,4.518072,1.2404163,3.7294633,2.9299014
1988,1035,1673,452,2168,35692,33130,4.687325,1.2663903,6.07419,2.8998096
1989,974,1594,522,1697,43402,38800,3.672642,1.2027096,3.9099581,2.2441363
1990,1000,1877,756,1774,47604,38580,3.942946,1.5881019,3.7265778,2.100664
1991,901,2112,680,1920,48803,28727,4.327603,1.3933569,3.9341846,1.846198
1992,918,2495,842,2168,85299,49782,2.925005,0.98711586,2.5416477,1.0762143
1993,1354,2809,1026,2312,63085,48781,4.4527225,1.6263772,3.6648967,2.1463106
1994,1338,2192,1118,2499,53912,38558,4.065885,2.07375,4.6353316,2.4818223
1995,1222,3230,895,2458,85885,49010,3.760843,1.0420913,2.8619666,1.4228328
1996,1614,3532,1557,3284,80671,53463,4.378277,1.9300616,4.0708556,2.0007188
1997,1641,3346,1429,3116,91439,62329,3.65927,1.5627906,3.407736,1.794639
1998,1489,2642,1273,2815,84802,55159,3.1154926,1.5011438,3.319497,1.7558548
1999,1534,2608,1195,2763,95633,53442,2.727092,1.2495686,2.8891702,1.6040487
2000,1568,3411,1437,3076,96051,61424,3.5512383,1.4960802,3.202465,1.6324662
2001,1531,2272,1294,2973,100905,58077,2.251623,1.2823943,2.9463356,1.5172688
2002,1398,3196,1346,3357,123556,77927,2.5866814,1.0893846,2.7169867,1.1314708
2003,1596,3267,1613,4551,93639,73140,3.4889312,1.7225729,4.8601546,1.7044181
2004,1625,3518,1380,6758,90637,64629,3.8814173,1.522557,7.456116,1.792866
2005,1920,3376,1587,3590,123462,69208,2.7344446,1.2854158,2.9077773,1.5551343
2006,2058,4670,1914,3196,131932,85391,3.5397024,1.4507474,2.42246,1.5598946
2007,2167,4397,1970,1885,147085,91455,2.989428,1.3393617,1.2815719,1.4732977
2008,2575,4301,2085,4168,147830,101505,2.909423,1.4104038,2.819455,1.7418656
2009,2458,3263,1985,4416,123059,90983,2.6515737,1.6130474,3.5885227,1.9974159
2010,1975,3244,1457,3422,123935,85070,2.617501,1.1756163,2.7611248,1.5935773
2011,1936,3370,1522,3411,132642,92594,2.5406733,1.1474495,2.5715837,1.4595679
2012,1882,3534,1538,3396,138872,94121,2.5447893,1.1074946,2.4454172,1.3552048
2013,1888,3624,1711,3605,146840,97660,2.4679923,1.1652138,2.455053,1.2857533
2014,2092,3736,1855,3933,148532,104467,2.5152829,1.2488891,2.6479142,1.4084507
2015,1965,3663,1788,3694,155531,109938,2.3551576,1.14961,2.3750892,1.2634138
2016,2016,4135,2086,4062,176928,121546,2.3371089,1.1790107,2.295849,1.1394465
2017,302,674,410,706,26774,20139,2.5173676,1.5313363,2.6368866,1.12796
