top_price,zip,city
7700000,98102,Seattle
7062500,98004,Bellevue
6885000,98039,Medina
5300000,98040,Mercer Island
5110800,98033,Kirkland
3200000,98075,Sammamish
3000000,98056,Renton
2700000,98027,Issaquah
2280000,98053,Redmond
1998000,98065,Snoqualmie
1950000,98045,North Bend
1920000,98077,Woodinville
1862000,98024,Fall City
1680000,98014,Carnation
1600000,98028,Kenmore
1379900,98070,Vashon
1350000,98038,Maple Valley
1275000,98023,Federal Way
1075000,98011,Bothell
1015000,98019,Duvall
935000,98010,Black Diamond
930000,98092,Auburn
859000,98042,Kent
858000,98022,Enumclaw
